symbol,riscv_status,module,subcategory,priority,root_cause,riscv_supportability,reason,riscv_possible_path,arm64_file,arm64_line,prompt,depends_on,commit_hash,commit_title,commit_url,patch_url
ARCH_HISI,ABSENT,平台/SoC,SoC平台选择,P2,厂商平台绑定,Partial,arm64 SoC 平台开关，RISC-V 应在自身平台目录定义对应项而非复用。,新增/完善 RISC-V SoC 平台 Kconfig,arch/arm64/Kconfig.platforms,163,Hisilicon SoC Family,,eed6b3eb20b97beff66ca59bb610ac73532278ee,arm64: Split out platform options to separate Kconfig,https://git.kernel.org/torvalds/c/eed6b3eb20b97beff66ca59bb610ac73532278ee,https://git.kernel.org/torvalds/c/eed6b3eb20b97beff66ca59bb610ac73532278ee.patch
ARCH_INTEL_SOCFPGA,ABSENT,平台/SoC,SoC平台选择,P2,厂商平台绑定,Partial,arm64 SoC 平台开关，RISC-V 应在自身平台目录定义对应项而非复用。,新增/完善 RISC-V SoC 平台 Kconfig,arch/arm64/Kconfig.platforms,359,Intel's SoCFPGA ARMv8 Families,,910499e13387fdd025a8113f2d9fc0207eae4848,ARM: socfpga: introduce common ARCH_INTEL_SOCFPGA,https://git.kernel.org/torvalds/c/910499e13387fdd025a8113f2d9fc0207eae4848,https://git.kernel.org/torvalds/c/910499e13387fdd025a8113f2d9fc0207eae4848.patch
ARCH_K3,ABSENT,平台/SoC,SoC平台选择,P2,厂商平台绑定,Partial,arm64 SoC 平台开关，RISC-V 应在自身平台目录定义对应项而非复用。,新增/完善 RISC-V SoC 平台 Kconfig,arch/arm64/Kconfig.platforms,150,Texas Instruments Inc. K3 multicore SoC architecture,,c77245722fb47e45db22f053d449c030d3038dde,arm64: Add support for TI's K3 Multicore SoC architecture,https://git.kernel.org/torvalds/c/c77245722fb47e45db22f053d449c030d3038dde,https://git.kernel.org/torvalds/c/c77245722fb47e45db22f053d449c030d3038dde.patch
ARCH_KEEMBAY,ABSENT,平台/SoC,SoC平台选择,P2,厂商平台绑定,Partial,arm64 SoC 平台开关，RISC-V 应在自身平台目录定义对应项而非复用。,新增/完善 RISC-V SoC 平台 Kconfig,arch/arm64/Kconfig.platforms,171,Keem Bay SoC,,a6a4abf8efeeadb762b5160f128f30c3c5c8e4ff,arm64: Add config for Keem Bay SoC,https://git.kernel.org/torvalds/c/a6a4abf8efeeadb762b5160f128f30c3c5c8e4ff,https://git.kernel.org/torvalds/c/a6a4abf8efeeadb762b5160f128f30c3c5c8e4ff.patch
ARCH_LAN969X,ABSENT,平台/SoC,SoC平台选择,P2,厂商平台绑定,Partial,arm64 SoC 平台开关，RISC-V 应在自身平台目录定义对应项而非复用。,新增/完善 RISC-V SoC 平台 Kconfig,arch/arm64/Kconfig.platforms,196,Microchip LAN969X SoC family,,c8d4fbc7d2bf4e7c19c99edc0671f86edfff59c7,arm64: lan969x: Add support for Microchip LAN969x SoC,https://git.kernel.org/torvalds/c/c8d4fbc7d2bf4e7c19c99edc0671f86edfff59c7,https://git.kernel.org/torvalds/c/c8d4fbc7d2bf4e7c19c99edc0671f86edfff59c7.patch
ARCH_LAYERSCAPE,ABSENT,平台/SoC,SoC平台选择,P2,厂商平台绑定,Partial,arm64 SoC 平台开关，RISC-V 应在自身平台目录定义对应项而非复用。,新增/完善 RISC-V SoC 平台 Kconfig,arch/arm64/Kconfig.platforms,266,Freescale Layerscape SoC family,,53a5fde05d0e1040394b5f6d1f191d49b0ca88f5,arm64: Use generic Layerscape SoC family naming,https://git.kernel.org/torvalds/c/53a5fde05d0e1040394b5f6d1f191d49b0ca88f5,https://git.kernel.org/torvalds/c/53a5fde05d0e1040394b5f6d1f191d49b0ca88f5.patch
ARCH_LG1K,ABSENT,平台/SoC,SoC平台选择,P2,厂商平台绑定,Partial,arm64 SoC 平台开关，RISC-V 应在自身平台目录定义对应项而非复用。,新增/完善 RISC-V SoC 平台 Kconfig,arch/arm64/Kconfig.platforms,158,LG Electronics LG1K SoC Family,,198ed9625a1c8d5a8f43a4888075c048d9488dc8,arm64: add Kconfig entry for LG1K SoC family,https://git.kernel.org/torvalds/c/198ed9625a1c8d5a8f43a4888075c048d9488dc8,https://git.kernel.org/torvalds/c/198ed9625a1c8d5a8f43a4888075c048d9488dc8.patch
ARCH_MA35,ABSENT,平台/SoC,SoC平台选择,P2,厂商平台绑定,Partial,arm64 SoC 平台开关，RISC-V 应在自身平台目录定义对应项而非复用。,新增/完善 RISC-V SoC 平台 Kconfig,arch/arm64/Kconfig.platforms,292,Nuvoton MA35 Architecture,,64b88e9ff6c5bed70c57103bb481ea4d7fcc9548,arm64: Kconfig.platforms: Add config for Nuvoton MA35 platform,https://git.kernel.org/torvalds/c/64b88e9ff6c5bed70c57103bb481ea4d7fcc9548,https://git.kernel.org/torvalds/c/64b88e9ff6c5bed70c57103bb481ea4d7fcc9548.patch
ARCH_MEDIATEK,ABSENT,平台/SoC,SoC平台选择,P2,厂商平台绑定,Partial,arm64 SoC 平台开关，RISC-V 应在自身平台目录定义对应项而非复用。,新增/完善 RISC-V SoC 平台 Kconfig,arch/arm64/Kconfig.platforms,176,MediaTek SoC Family,,eed6b3eb20b97beff66ca59bb610ac73532278ee,arm64: Split out platform options to separate Kconfig,https://git.kernel.org/torvalds/c/eed6b3eb20b97beff66ca59bb610ac73532278ee,https://git.kernel.org/torvalds/c/eed6b3eb20b97beff66ca59bb610ac73532278ee.patch
ARCH_MESON,ABSENT,平台/SoC,SoC平台选择,P2,厂商平台绑定,Partial,arm64 SoC 平台开关，RISC-V 应在自身平台目录定义对应项而非复用。,新增/完善 RISC-V SoC 平台 Kconfig,arch/arm64/Kconfig.platforms,185,Amlogic Platforms,,451e9e54e259f1f223763e191393c47383674256,ARM64: Enable Amlogic Meson GXBaby platform,https://git.kernel.org/torvalds/c/451e9e54e259f1f223763e191393c47383674256,https://git.kernel.org/torvalds/c/451e9e54e259f1f223763e191393c47383674256.patch
ARCH_MMP,ABSENT,平台/SoC,SoC平台选择,P2,厂商平台绑定,Partial,arm64 SoC 平台开关，RISC-V 应在自身平台目录定义对应项而非复用。,新增/完善 RISC-V SoC 平台 Kconfig,arch/arm64/Kconfig.platforms,228,Marvell MMP SoC Family,,1eb07e99ef39808612e12edaac6ef10f27485a27,arm64: Kconfig.platforms: Add config for Marvell PXA1908 platform,https://git.kernel.org/torvalds/c/1eb07e99ef39808612e12edaac6ef10f27485a27,https://git.kernel.org/torvalds/c/1eb07e99ef39808612e12edaac6ef10f27485a27.patch
ARCH_MVEBU,ABSENT,平台/SoC,SoC平台选择,P2,厂商平台绑定,Partial,arm64 SoC 平台开关，RISC-V 应在自身平台目录定义对应项而非复用。,新增/完善 RISC-V SoC 平台 Kconfig,arch/arm64/Kconfig.platforms,236,Marvell EBU SoC Family,,b4f596b19624d14864596b5b43de5f04cadd4895,arm64: add mvebu architecture entry,https://git.kernel.org/torvalds/c/b4f596b19624d14864596b5b43de5f04cadd4895,https://git.kernel.org/torvalds/c/b4f596b19624d14864596b5b43de5f04cadd4895.patch
ARCH_MXC,ABSENT,平台/SoC,SoC平台选择,P2,厂商平台绑定,Partial,arm64 SoC 平台开关，RISC-V 应在自身平台目录定义对应项而非复用。,新增/完善 RISC-V SoC 平台 Kconfig,arch/arm64/Kconfig.platforms,271,NXP i.MX SoC family,,930507c1830498e00ede089890f188de4a108cc7,arm64: add basic Kconfig symbols for i.MX8,https://git.kernel.org/torvalds/c/930507c1830498e00ede089890f188de4a108cc7,https://git.kernel.org/torvalds/c/930507c1830498e00ede089890f188de4a108cc7.patch
ARCH_NPCM,ABSENT,平台/SoC,SoC平台选择,P2,厂商平台绑定,Partial,arm64 SoC 平台开关，RISC-V 应在自身平台目录定义对应项而非复用。,新增/完善 RISC-V SoC 平台 Kconfig,arch/arm64/Kconfig.platforms,300,Nuvoton NPCM Architecture,,3670d2ec13eeb63d9570caf6b51dd1150af65ea8,arm64: npcm: Add support for Nuvoton NPCM8XX BMC SoC,https://git.kernel.org/torvalds/c/3670d2ec13eeb63d9570caf6b51dd1150af65ea8,https://git.kernel.org/torvalds/c/3670d2ec13eeb63d9570caf6b51dd1150af65ea8.patch
ARCH_NXP,ABSENT,平台/SoC,SoC平台选择,P2,厂商平台绑定,Partial,arm64 SoC 平台开关，RISC-V 应在自身平台目录定义对应项而非复用。,新增/完善 RISC-V SoC 平台 Kconfig,arch/arm64/Kconfig.platforms,261,NXP SoC support,,566e373fe047f35be58d8a97061275be4dcb4132,arm64: Kconfig.platforms: Group NXP platforms together,https://git.kernel.org/torvalds/c/566e373fe047f35be58d8a97061275be4dcb4132,https://git.kernel.org/torvalds/c/566e373fe047f35be58d8a97061275be4dcb4132.patch
ARCH_PENSANDO,ABSENT,平台/SoC,SoC平台选择,P2,厂商平台绑定,Partial,arm64 SoC 平台开关，RISC-V 应在自身平台目录定义对应项而非复用。,新增/完善 RISC-V SoC 平台 Kconfig,arch/arm64/Kconfig.platforms,311,AMD Pensando Platforms,,646fe2e4b39049078d18c72832afec21dc9d6b52,arm64: Add config for AMD Pensando SoC platforms,https://git.kernel.org/torvalds/c/646fe2e4b39049078d18c72832afec21dc9d6b52,https://git.kernel.org/torvalds/c/646fe2e4b39049078d18c72832afec21dc9d6b52.patch
ARCH_PKEY_BITS,ABSENT,安全/隔离,内存保护键,P0,ISA安全机制差异,Partial,该项服务于 Arm pkey/权限模型。RISC-V 需先具备对应硬件与软件接口。,RISC-V 域隔离/权限标签机制,arch/arm64/Kconfig,2177,,,b9b9d72de32bcb63ed4d9761907a3e5f352c6f9a,arm64: add Permission Overlay Extension Kconfig,https://git.kernel.org/torvalds/c/b9b9d72de32bcb63ed4d9761907a3e5f352c6f9a,https://git.kernel.org/torvalds/c/b9b9d72de32bcb63ed4d9761907a3e5f352c6f9a.patch
ARCH_QCOM,ABSENT,平台/SoC,SoC平台选择,P2,厂商平台绑定,Partial,arm64 SoC 平台开关，RISC-V 应在自身平台目录定义对应项而非复用。,新增/完善 RISC-V SoC 平台 Kconfig,arch/arm64/Kconfig.platforms,323,Qualcomm Platforms,,eed6b3eb20b97beff66ca59bb610ac73532278ee,arm64: Split out platform options to separate Kconfig,https://git.kernel.org/torvalds/c/eed6b3eb20b97beff66ca59bb610ac73532278ee,https://git.kernel.org/torvalds/c/eed6b3eb20b97beff66ca59bb610ac73532278ee.patch
ARCH_REALTEK,ABSENT,平台/SoC,SoC平台选择,P2,厂商平台绑定,Partial,arm64 SoC 平台开关，RISC-V 应在自身平台目录定义对应项而非复用。,新增/完善 RISC-V SoC 平台 Kconfig,arch/arm64/Kconfig.platforms,332,Realtek Platforms,,1b0d665eb7e3f7aa8f031f1be2dadf3f4b6e0068,ARM64: Prepare Realtek RTD1295,https://git.kernel.org/torvalds/c/1b0d665eb7e3f7aa8f031f1be2dadf3f4b6e0068,https://git.kernel.org/torvalds/c/1b0d665eb7e3f7aa8f031f1be2dadf3f4b6e0068.patch
ARCH_ROCKCHIP,ABSENT,平台/SoC,SoC平台选择,P2,厂商平台绑定,Partial,arm64 SoC 平台开关，RISC-V 应在自身平台目录定义对应项而非复用。,新增/完善 RISC-V SoC 平台 Kconfig,arch/arm64/Kconfig.platforms,344,Rockchip Platforms,,fbac1c81e2591c5d1e5abd9a4477002f2afd0ab4,arm64: add Rockchip architecture entry,https://git.kernel.org/torvalds/c/fbac1c81e2591c5d1e5abd9a4477002f2afd0ab4,https://git.kernel.org/torvalds/c/fbac1c81e2591c5d1e5abd9a4477002f2afd0ab4.patch
ARCH_S32,ABSENT,平台/SoC,SoC平台选择,P2,厂商平台绑定,Partial,arm64 SoC 平台开关，RISC-V 应在自身平台目录定义对应项而非复用。,新增/完善 RISC-V SoC 平台 Kconfig,arch/arm64/Kconfig.platforms,285,NXP S32 SoC Family,,3d4e0158c1db518a3a0c4ada5b5a2b1539ce5643,arm64: Introduce config for S32,https://git.kernel.org/torvalds/c/3d4e0158c1db518a3a0c4ada5b5a2b1539ce5643,https://git.kernel.org/torvalds/c/3d4e0158c1db518a3a0c4ada5b5a2b1539ce5643.patch
ARCH_SEATTLE,ABSENT,平台/SoC,SoC平台选择,P2,厂商平台绑定,Partial,arm64 SoC 平台开关，RISC-V 应在自身平台目录定义对应项而非复用。,新增/完善 RISC-V SoC 平台 Kconfig,arch/arm64/Kconfig.platforms,354,AMD Seattle SoC Family,,eed6b3eb20b97beff66ca59bb610ac73532278ee,arm64: Split out platform options to separate Kconfig,https://git.kernel.org/torvalds/c/eed6b3eb20b97beff66ca59bb610ac73532278ee,https://git.kernel.org/torvalds/c/eed6b3eb20b97beff66ca59bb610ac73532278ee.patch
ARCH_SPARX5,ABSENT,平台/SoC,SoC平台选择,P2,厂商平台绑定,Partial,arm64 SoC 平台开关，RISC-V 应在自身平台目录定义对应项而非复用。,新增/完善 RISC-V SoC 平台 Kconfig,arch/arm64/Kconfig.platforms,211,Microchip Sparx5 SoC family,,31a91c87a42bf3f7261e5752db5784fa43fbced5,arm64: sparx5: Add support for Microchip 2xA53 SoC,https://git.kernel.org/torvalds/c/31a91c87a42bf3f7261e5752db5784fa43fbced5,https://git.kernel.org/torvalds/c/31a91c87a42bf3f7261e5752db5784fa43fbced5.patch
ARCH_SPRD,ABSENT,平台/SoC,SoC平台选择,P2,厂商平台绑定,Partial,arm64 SoC 平台开关，RISC-V 应在自身平台目录定义对应项而非复用。,新增/完善 RISC-V SoC 平台 Kconfig,arch/arm64/Kconfig.platforms,415,Spreadtrum SoC platform,,eed6b3eb20b97beff66ca59bb610ac73532278ee,arm64: Split out platform options to separate Kconfig,https://git.kernel.org/torvalds/c/eed6b3eb20b97beff66ca59bb610ac73532278ee,https://git.kernel.org/torvalds/c/eed6b3eb20b97beff66ca59bb610ac73532278ee.patch
ARCH_STM32,ABSENT,平台/SoC,SoC平台选择,P2,厂商平台绑定,Partial,arm64 SoC 平台开关，RISC-V 应在自身平台目录定义对应项而非复用。,新增/完善 RISC-V SoC 平台 Kconfig,arch/arm64/Kconfig.platforms,372,STMicroelectronics STM32 SoC Family,,9e4e24414cc6b45bd887d746a59691e295431ddf,arm64: introduce STM32 family on Armv8 architecture,https://git.kernel.org/torvalds/c/9e4e24414cc6b45bd887d746a59691e295431ddf,https://git.kernel.org/torvalds/c/9e4e24414cc6b45bd887d746a59691e295431ddf.patch
ARCH_SUPPORTS_KEXEC_HANDOVER,ABSENT,启动/固件,kexec与镜像验证,P1,启动链差异,Partial,arm64 在该版本启用了 kexec 镜像签名/交接能力开关，RISC-V 需在自身引导链实现对应能力。,RISC-V kexec + 签名校验链路,arch/arm64/Kconfig,1621,,,274cdcb1c004c455451b1ca6fb5576f474f9eba0,arm64: add KHO support,https://git.kernel.org/torvalds/c/274cdcb1c004c455451b1ca6fb5576f474f9eba0,https://git.kernel.org/torvalds/c/274cdcb1c004c455451b1ca6fb5576f474f9eba0.patch
ARCH_SUPPORTS_KEXEC_IMAGE_VERIFY_SIG,ABSENT,启动/固件,kexec与镜像验证,P1,启动链差异,Partial,arm64 在该版本启用了 kexec 镜像签名/交接能力开关，RISC-V 需在自身引导链实现对应能力。,RISC-V kexec + 签名校验链路,arch/arm64/Kconfig,1615,,,91506f7e5d2142130f7407fca42c7a44a77eedfa,arm64/kexec: refactor for kernel/Kconfig.kexec,https://git.kernel.org/torvalds/c/91506f7e5d2142130f7407fca42c7a44a77eedfa,https://git.kernel.org/torvalds/c/91506f7e5d2142130f7407fca42c7a44a77eedfa.patch
