symbol,file,line,type,prompt,depends_on,selects,implies,default
ARCH_MMAP_RND_COMPAT_BITS_MIN,arch/arm64/Kconfig,349,,,,,,7 if ARM64_64K_PAGES ; 9 if ARM64_16K_PAGES ; 11
ARCH_MMAP_RND_COMPAT_BITS_MAX,arch/arm64/Kconfig,354,,,,,,16
NO_IOPORT_MAP,arch/arm64/Kconfig,357,,,,,,
STACKTRACE_SUPPORT,arch/arm64/Kconfig,360,,,,,,
ILLEGAL_POINTER_VALUE,arch/arm64/Kconfig,363,hex,,,,,0xdead000000000000
LOCKDEP_SUPPORT,arch/arm64/Kconfig,367,,,,,,
GENERIC_BUG,arch/arm64/Kconfig,370,,,BUG,,,
GENERIC_BUG_RELATIVE_POINTERS,arch/arm64/Kconfig,374,,,GENERIC_BUG,,,
GENERIC_HWEIGHT,arch/arm64/Kconfig,378,,,,,,
GENERIC_CSUM,arch/arm64/Kconfig,381,,,,,,
GENERIC_CALIBRATE_DELAY,arch/arm64/Kconfig,384,,,,,,
SMP,arch/arm64/Kconfig,387,,,,,,
KERNEL_MODE_NEON,arch/arm64/Kconfig,390,,,,,,
FIX_EARLYCON_MEM,arch/arm64/Kconfig,393,,,,,,
PGTABLE_LEVELS,arch/arm64/Kconfig,396,int,,,,,2 if ARM64_16K_PAGES && ARM64_VA_BITS_36 ; 2 if ARM64_64K_PAGES && ARM64_VA_BITS_42 ; 3 if ARM64_64K_PAGES && (ARM64_VA_BITS_48 || ARM64_VA_BITS_52) ; 3 if ARM64_4K_PAGES && ARM64_VA_BITS_39 ; 3 if ARM64_16K_PAGES && ARM64_VA_BITS_47 ; 4 if ARM64_16K_PAGES && (ARM64_VA_BITS_48 || ARM64_VA_BITS_52) ; 4 if !ARM64_64K_PAGES && ARM64_VA_BITS_48 ; 5 if ARM64_4K_PAGES && ARM64_VA_BITS_52
ARCH_SUPPORTS_UPROBES,arch/arm64/Kconfig,407,,,,,,
ARCH_PROC_KCORE_TEXT,arch/arm64/Kconfig,410,,,,,,
BROKEN_GAS_INST,arch/arm64/Kconfig,413,,,,,,
BUILTIN_RETURN_ADDRESS_STRIPS_PAC,arch/arm64/Kconfig,416,bool,,,,,y if CC_IS_CLANG ; y if CC_IS_GCC && (GCC_VERSION >= 110100) ; y if CC_IS_GCC && (GCC_VERSION >= 100200) && (GCC_VERSION < 110000) ; y if CC_IS_GCC && (GCC_VERSION >=  90400) && (GCC_VERSION < 100000) ; y if CC_IS_GCC && (GCC_VERSION >=  80500) && (GCC_VERSION <  90000) ; n
KASAN_SHADOW_OFFSET,arch/arm64/Kconfig,430,hex,,KASAN_GENERIC || KASAN_SW_TAGS,,,0xdfff800000000000 if (ARM64_VA_BITS_48 || (ARM64_VA_BITS_52 && !ARM64_16K_PAGES)) && !KASAN_SW_TAGS ; 0xdfffc00000000000 if (ARM64_VA_BITS_47 || ARM64_VA_BITS_52) && ARM64_16K_PAGES && !KASAN_SW_TAGS ; 0xdffffe0000000000 if ARM64_VA_BITS_42 && !KASAN_SW_TAGS ; 0xdfffffc000000000 if ARM64_VA_BITS_39 && !KASAN_SW_TAGS ; 0xdffffff800000000 if ARM64_VA_BITS_36 && !KASAN_SW_TAGS ; 0xefff800000000000 if (ARM64_VA_BITS_48 || (ARM64_VA_BITS_52 && !ARM64_16K_PAGES)) && KASAN_SW_TAGS ; 0xefffc00000000000 if (ARM64_VA_BITS_47 || ARM64_VA_BITS_52) && ARM64_16K_PAGES && KASAN_SW_TAGS ; 0xeffffe0000000000 if ARM64_VA_BITS_42 && KASAN_SW_TAGS ; 0xefffffc000000000 if ARM64_VA_BITS_39 && KASAN_SW_TAGS ; 0xeffffff800000000 if ARM64_VA_BITS_36 && KASAN_SW_TAGS ; 0xffffffffffffffff
UNWIND_TABLES,arch/arm64/Kconfig,445,bool,,,,,
AMPERE_ERRATUM_AC03_CPU_38,arch/arm64/Kconfig,454,bool,AmpereOne: AC03_CPU_38: Certain bits in the Virtualization Translation Control Register and Translation Control Registers do not follow RES0 semantics,,,,y
AMPERE_ERRATUM_AC04_CPU_23,arch/arm64/Kconfig,473,bool,AmpereOne: AC04_CPU_23:  Failure to synchronize writes to HCR_EL2 may corrupt address translations.,,,,y
ARM64_WORKAROUND_CLEAN_CACHE,arch/arm64/Kconfig,490,bool,,,,,
ARM64_ERRATUM_826319,arch/arm64/Kconfig,493,bool,Cortex-A53: 826319: System might deadlock if a write cannot complete until read data is accepted,,ARM64_WORKAROUND_CLEAN_CACHE,,y
ARM64_ERRATUM_827319,arch/arm64/Kconfig,515,bool,Cortex-A53: 827319: Data cache clean instructions might cause overlapping transactions to the interconnect,,ARM64_WORKAROUND_CLEAN_CACHE,,y
ARM64_ERRATUM_824069,arch/arm64/Kconfig,537,bool,Cortex-A53: 824069: Cache line might not be marked as clean after a CleanShared snoop,,ARM64_WORKAROUND_CLEAN_CACHE,,y
ARM64_ERRATUM_819472,arch/arm64/Kconfig,560,bool,Cortex-A53: 819472: Store exclusive instructions might cause data corruption,,ARM64_WORKAROUND_CLEAN_CACHE,,y
ARM64_ERRATUM_832075,arch/arm64/Kconfig,582,bool,Cortex-A57: 832075: possible deadlock on mixing exclusive memory accesses with device loads,,,,y
ARM64_ERRATUM_834220,arch/arm64/Kconfig,600,bool,Cortex-A57: 834220: Stage 2 translation fault might be incorrectly reported in presence of a Stage 1 fault (rare),KVM,,,
ARM64_ERRATUM_1742098,arch/arm64/Kconfig,620,bool,Cortex-A57/A72: 1742098: ELR recorded incorrectly on interrupt taken between cryptographic instructions in a sequence,COMPAT,,,y
ARM64_ERRATUM_845719,arch/arm64/Kconfig,636,bool,Cortex-A53: 845719: a load might read incorrect data,COMPAT,,,y
ARM64_ERRATUM_843419,arch/arm64/Kconfig,657,bool,Cortex-A53: 843419: A load or store might access an incorrect address,,,,y
ARM64_ERRATUM_1024718,arch/arm64/Kconfig,668,bool,Cortex-A55: 1024718: Update of DBM/AP bits without break before make might result in incorrect update,,,,y
ARM64_ERRATUM_1418040,arch/arm64/Kconfig,682,bool,Cortex-A76/Neoverse-N1: MRC read following MRRC read of specific Generic Timer in AArch32 might give incorrect result,COMPAT,,,y
ARM64_WORKAROUND_SPECULATIVE_AT,arch/arm64/Kconfig,696,bool,,,,,
ARM64_ERRATUM_1165522,arch/arm64/Kconfig,699,bool,Cortex-A76: 1165522: Speculative AT instruction using out-of-context translation regime could cause subsequent request to generate an incorrect translation,,ARM64_WORKAROUND_SPECULATIVE_AT,,y
ARM64_ERRATUM_1319367,arch/arm64/Kconfig,712,bool,Cortex-A57/A72: 1319537: Speculative AT instruction using out-of-context translation regime could cause subsequent request to generate an incorrect translation,,ARM64_WORKAROUND_SPECULATIVE_AT,,y
ARM64_ERRATUM_1530923,arch/arm64/Kconfig,725,bool,Cortex-A55: 1530923: Speculative AT instruction using out-of-context translation regime could cause subsequent request to generate an incorrect translation,,ARM64_WORKAROUND_SPECULATIVE_AT,,y
ARM64_WORKAROUND_REPEAT_TLBI,arch/arm64/Kconfig,738,bool,,,,,
ARM64_ERRATUM_2441007,arch/arm64/Kconfig,741,bool,Cortex-A55: Completion of affected memory accesses might not be guaranteed by completion of a TLBI (rare),,ARM64_WORKAROUND_REPEAT_TLBI,,
ARM64_ERRATUM_1286807,arch/arm64/Kconfig,757,bool,Cortex-A76: Modification of the translation table for a virtual address might lead to read-after-read ordering violation (rare),,ARM64_WORKAROUND_REPEAT_TLBI,,
ARM64_ERRATUM_1463225,arch/arm64/Kconfig,774,bool,Cortex-A76: Software Step might prevent interrupt recognition,,,,y
ARM64_ERRATUM_1542419,arch/arm64/Kconfig,792,bool,Neoverse-N1: workaround mis-ordering of instruction fetches (rare),,,,
ARM64_ERRATUM_1508412,arch/arm64/Kconfig,807,bool,Cortex-A77: 1508412: workaround deadlock on sequence of NC/Device load and store exclusive or PAR read,,,,y
ARM64_WORKAROUND_TRBE_OVERWRITE_FILL_MODE,arch/arm64/Kconfig,827,bool,,,,,
ARM64_ERRATUM_2051678,arch/arm64/Kconfig,830,bool,Cortex-A510: 2051678: disable Hardware Update of the page table dirty bit,,,,y
ARM64_ERRATUM_2077057,arch/arm64/Kconfig,841,bool,Cortex-A510: 2077057: workaround software-step corrupting SPSR_EL2,,,,y
ARM64_ERRATUM_2658417,arch/arm64/Kconfig,858,bool,Cortex-A510: 2658417: remove BF16 support due to incorrect result,,,,y
ARM64_ERRATUM_2119858,arch/arm64/Kconfig,871,bool,Cortex-A710/X2: 2119858: workaround TRBE overwriting trace data in FILL mode,CORESIGHT_TRBE,ARM64_WORKAROUND_TRBE_OVERWRITE_FILL_MODE,,y
ARM64_ERRATUM_2139208,arch/arm64/Kconfig,889,bool,Neoverse-N2: 2139208: workaround TRBE overwriting trace data in FILL mode,CORESIGHT_TRBE,ARM64_WORKAROUND_TRBE_OVERWRITE_FILL_MODE,,y
ARM64_WORKAROUND_TSB_FLUSH_FAILURE,arch/arm64/Kconfig,907,bool,,,,,
ARM64_ERRATUM_2054223,arch/arm64/Kconfig,910,bool,Cortex-A710: 2054223: workaround TSB instruction failing to flush trace,,ARM64_WORKAROUND_TSB_FLUSH_FAILURE,,y
ARM64_ERRATUM_2067961,arch/arm64/Kconfig,925,bool,Neoverse-N2: 2067961: workaround TSB instruction failing to flush trace,,ARM64_WORKAROUND_TSB_FLUSH_FAILURE,,y
ARM64_WORKAROUND_TRBE_WRITE_OUT_OF_RANGE,arch/arm64/Kconfig,940,bool,,,,,
ARM64_ERRATUM_2253138,arch/arm64/Kconfig,943,bool,Neoverse-N2: 2253138: workaround TRBE writing to address out-of-range,CORESIGHT_TRBE,ARM64_WORKAROUND_TRBE_WRITE_OUT_OF_RANGE,,y
ARM64_ERRATUM_2224489,arch/arm64/Kconfig,961,bool,Cortex-A710/X2: 2224489: workaround TRBE writing to address out-of-range,CORESIGHT_TRBE,ARM64_WORKAROUND_TRBE_WRITE_OUT_OF_RANGE,,y
ARM64_ERRATUM_2441009,arch/arm64/Kconfig,979,bool,Cortex-A510: Completion of affected memory accesses might not be guaranteed by completion of a TLBI (rare),,ARM64_WORKAROUND_REPEAT_TLBI,,
ARM64_ERRATUM_2064142,arch/arm64/Kconfig,995,bool,Cortex-A510: 2064142: workaround TRBE register writes while disabled,CORESIGHT_TRBE,,,y
ARM64_ERRATUM_2038923,arch/arm64/Kconfig,1013,bool,Cortex-A510: 2038923: workaround TRBE corruption with enable,CORESIGHT_TRBE,,,y
ARM64_ERRATUM_1902691,arch/arm64/Kconfig,1036,bool,Cortex-A510: 1902691: workaround TRBE trace corruption,CORESIGHT_TRBE,,,y
ARM64_ERRATUM_2457168,arch/arm64/Kconfig,1054,bool,Cortex-A510: 2457168: workaround for AMEVCNTR01 incrementing incorrectly,ARM64_AMU_EXTN,,,y
ARM64_ERRATUM_2645198,arch/arm64/Kconfig,1071,bool,Cortex-A715: 2645198: Workaround possible [ESR|FAR]_ELx corruption,,,,y
ARM64_WORKAROUND_SPECULATIVE_UNPRIV_LOAD,arch/arm64/Kconfig,1087,bool,,,,,
ARM64_ERRATUM_2966298,arch/arm64/Kconfig,1090,bool,Cortex-A520: 2966298: workaround for speculatively executed unprivileged load,,ARM64_WORKAROUND_SPECULATIVE_UNPRIV_LOAD,,y
ARM64_ERRATUM_3117295,arch/arm64/Kconfig,1104,bool,Cortex-A510: 3117295: workaround for speculatively executed unprivileged load,,ARM64_WORKAROUND_SPECULATIVE_UNPRIV_LOAD,,y
ARM64_ERRATUM_3194386,arch/arm64/Kconfig,1118,bool,Cortex-*/Neoverse-*: workaround for MSR SSBS not self-synchronizing,,,,y
ARM64_ERRATUM_4311569,arch/arm64/Kconfig,1159,bool,SI L1: 4311569: workaround for premature CMO completion erratum,,,,y
CAVIUM_ERRATUM_22375,arch/arm64/Kconfig,1178,bool,"Cavium erratum 22375, 24313",,,,y
CAVIUM_ERRATUM_23144,arch/arm64/Kconfig,1195,bool,Cavium erratum 23144: ITS SYNC hang on dual socket system,NUMA,,,y
CAVIUM_ERRATUM_23154,arch/arm64/Kconfig,1204,bool,Cavium errata 23154 and 38545: GICv3 lacks HW synchronisation,,,,y
CAVIUM_ERRATUM_27456,arch/arm64/Kconfig,1218,bool,Cavium erratum 27456: Broadcast TLBI instructions may cause icache corruption,,,,y
CAVIUM_ERRATUM_30115,arch/arm64/Kconfig,1229,bool,Cavium erratum 30115: Guest may disable interrupts in host,,,,y
CAVIUM_TX2_ERRATUM_219,arch/arm64/Kconfig,1240,bool,Cavium ThunderX2 erratum 219: PRFM between TTBR change and ISB fails,,,,y
FUJITSU_ERRATUM_010001,arch/arm64/Kconfig,1257,bool,Fujitsu-A64FX erratum E#010001: Undefined fault may occur wrongly,,,,y
